,age,gender,hourly_earnings,education,yearly_salary
97,30,female,19.66783142,16,39335.66284
98,29,male,17.18494225,13,34369.8845
99,30,female,25,16,50000
100,30,female,28,16,56000
101,29,female,32.69230652,16,65384.61304
102,30,male,14.00560188,12,28011.20376
103,30,male,10.98901081,12,21978.02162
104,29,male,14.9572649,16,29914.5298
105,29,male,27.88461494,16,55769.22988
106,30,female,10.09615421,13,20192.30842
107,30,male,13.46153831,6,26923.07662
108,30,male,2.136752129,12,4273.504258
109,29,male,23.93162346,14,47863.24692
110,29,female,13.35470104,13,26709.40208
111,29,male,18.57692337,18,37153.84674
112,29,female,17.07740402,16,34154.80804
113,30,male,22.11538506,16,44230.77012
114,30,male,17.94871712,16,35897.43424
115,30,female,12.01923084,14,24038.46168
116,30,male,11.05769253,12,22115.38506
117,30,male,39.2628212,16,78525.6424
118,30,female,18.81270981,18,37625.41962
119,29,male,14.42307663,12,28846.15326
120,29,female,16.82692337,12,33653.84674
121,30,female,15.38461494,13,30769.22988
122,29,female,15.38461494,13,30769.22988
123,30,male,19.23077011,18,38461.54022
124,30,male,19.23077011,12,38461.54022
125,29,female,16.20192337,16,32403.84674
126,29,female,11.53846169,13,23076.92338
127,30,male,6.976744175,12,13953.48835
128,30,female,20.19230843,13,40384.61686
129,29,male,12.5,12,25000
130,30,female,6.25,12,12500
131,30,female,13.46153831,18,26923.07662
132,30,female,12.98076916,12,25961.53832
133,29,male,16.82692337,14,33653.84674
134,30,male,29.4017086,16,58803.4172
135,30,male,14.79289913,13,29585.79826
136,30,female,18.75,13,37500
137,30,male,25,16,50000
138,30,male,14.61538506,14,29230.77012
139,30,male,8.222596169,9,16445.19234
140,30,male,19.95192337,16,39903.84674
141,30,female,22.03525734,18,44070.51468
142,29,male,21.44970322,13,42899.40644
143,29,male,13.02083302,12,26041.66604
144,29,female,10.57692337,13,21153.84674
145,30,male,18.49112511,14,36982.25022
146,30,male,3.571428537,13,7142.857074
147,29,male,12.5,18,25000
148,29,male,6.875,12,13750
149,30,male,4.807692528,6,9615.385056
150,30,male,8.653845787,12,17307.69157
151,29,male,9.95192337,16,19903.84674
152,29,female,6.224696159,13,12449.39232
153,29,male,12.01923084,12,24038.46168
154,30,male,17.31999969,16,34639.99938
155,30,female,10.47403812,16,20948.07624
156,29,female,28.6713295,16,57342.659
157,29,male,8.653845787,13,17307.69157
158,29,female,16.34615326,18,32692.30652
159,30,male,24.26739883,16,48534.79766
160,29,female,12.01923084,13,24038.46168
161,29,male,3.891941309,12,7783.882618
162,29,female,21.15384674,16,42307.69348
163,29,female,12.01923084,18,24038.46168
164,29,female,5.494505405,13,10989.01081
165,29,female,9.615385056,13,19230.77011
166,29,male,12.5,14,25000
167,30,male,24.03846169,14,48076.92338
168,29,male,10.09615421,13,20192.30842
169,30,male,21.36752129,13,42735.04258
170,30,male,10.98901081,12,21978.02162
171,29,male,32.69230652,13,65384.61304
172,30,male,8.974358559,16,17948.71712
173,29,male,16.82692337,12,33653.84674
174,30,female,11.05769253,13,22115.38506
175,29,female,7.932692528,12,15865.38506
176,29,female,20.5662384,14,41132.4768
177,30,male,20.75961494,16,41519.22988
178,30,female,20.67307663,13,41346.15326
179,30,male,8.136095047,12,16272.19009
180,30,male,9.615385056,12,19230.77011
181,29,male,13.46153831,12,26923.07662
182,30,male,9.134614944,12,18269.22989
183,29,male,7.211538315,13,14423.07663
184,29,female,4.326922894,13,8653.845788
185,29,female,18.75,16,37500
186,29,female,16.02564049,14,32051.28098
187,29,male,11.53846169,16,23076.92338
188,29,male,21.12980843,16,42259.61686
189,29,male,27.40384674,16,54807.69348
190,29,female,8.603239059,16,17206.47812
191,29,male,14.87451935,10,29749.0387
192,29,male,15.38461494,16,30769.22988
193,30,female,4.307692528,6,8615.385056
194,29,female,14.90384579,16,29807.69158
195,29,female,10.25,12,20500
196,30,female,17.78846169,13,35576.92338
197,29,female,26.55677605,16,53113.5521
198,29,male,48.07692337,16,96153.84674
199,29,male,25.96153831,14,51923.07662
200,29,female,20.19230843,16,40384.61686
201,29,male,12.96958828,12,25939.17656
202,29,male,24.35897446,13,48717.94892
203,29,male,9.615385056,6,19230.77011
204,29,male,10,12,20000
205,29,female,9.615385056,12,19230.77011
206,30,male,19.6078434,18,39215.6868
207,29,female,10.57692337,13,21153.84674
208,30,male,10.05917168,16,20118.34336
209,29,female,20.83333397,13,41666.66794
210,29,female,12.82051277,16,25641.02554
211,30,male,20.19230843,16,40384.61686
212,29,female,11.53846169,13,23076.92338
213,29,male,12.35294151,13,24705.88302
214,29,female,6.258503437,13,12517.00687
215,29,male,8.192788124,12,16385.57625
216,29,male,14.04134655,12,28082.6931
217,29,female,21.04957199,16,42099.14398
218,29,male,10.2564106,12,20512.8212
219,30,female,19.4285717,16,38857.1434
220,29,male,16.72240829,18,33444.81658
221,29,male,15.46822739,18,30936.45478
222,29,male,15.97633171,12,31952.66342
223,29,male,10.03846169,12,20076.92338
224,29,female,16.34615326,12,32692.30652
225,29,male,20.19230843,14,40384.61686
226,29,male,11.73076916,16,23461.53832
227,29,female,14.42307663,13,28846.15326
228,30,male,9.615385056,12,19230.77011
229,29,female,7.5,8,15000
230,30,male,16.34615326,6,32692.30652
231,30,male,20.67307663,12,41346.15326
232,29,female,16.82692337,14,33653.84674
233,29,male,11.53846169,16,23076.92338
234,29,male,16.82692337,12,33653.84674
235,30,male,15.27153873,12,30543.07746
236,29,male,17.1875,12,34375
237,29,female,28.84615326,16,57692.30652
238,29,female,8.653845787,11,17307.69157
239,29,male,10.41666698,9,20833.33396
240,29,female,12.5,12,25000
241,29,male,22.11538506,14,44230.77012
242,29,female,29.58579826,13,59171.59652
243,30,male,9.615385056,12,19230.77011
244,29,female,9.558823586,16,19117.64717
245,30,female,3.058823586,11,6117.647172
246,30,male,9.759230614,13,19518.46123
247,30,male,6.730769157,12,13461.53831
248,30,female,12.01923084,12,24038.46168
249,30,male,10.98901081,12,21978.02162
250,29,female,14.90384579,12,29807.69158
251,30,male,10.09615421,10,20192.30842
252,29,female,13.94230747,12,27884.61494
253,29,male,11.90476227,13,23809.52454
254,29,male,9.615385056,12,19230.77011
255,30,male,26.34615326,18,52692.30652
256,29,male,7.692307472,12,15384.61494
257,29,female,2.884615421,13,5769.230842
258,30,female,4.199999809,13,8399.999618
259,30,female,11.53846169,13,23076.92338
260,30,male,6.557692528,12,13115.38506
261,30,female,17.30769157,18,34615.38314
262,30,female,10.57692337,13,21153.84674
263,29,female,9.134614944,13,18269.22989
264,30,female,14.42307663,16,28846.15326
265,30,male,15.10988998,14,30219.77996
266,29,male,15.73426533,12,31468.53066
267,30,male,8.190883636,16,16381.76727
268,29,male,8.653845787,12,17307.69157
269,30,female,10.98901081,12,21978.02162
270,29,male,18,16,36000
271,30,male,7.8125,13,15625
272,30,male,20,16,40000
273,30,male,43.26922989,16,86538.45978
274,30,female,19.23077011,16,38461.54022
275,30,female,14.9572649,12,29914.5298
276,30,male,15.38461494,12,30769.22988
277,29,male,14.42307663,16,28846.15326
278,30,female,5.494505405,11,10989.01081
279,30,male,14.14027119,11,28280.54238
280,29,male,10.71428585,14,21428.5717
281,29,male,25.32051277,16,50641.02554
282,29,female,6.009615421,12,12019.23084
283,29,male,9.134614944,12,18269.22989
284,30,female,20.29914474,14,40598.28948
285,30,male,15.38461494,13,30769.22988
286,29,male,19.58041954,13,39160.83908
287,29,male,14.51923084,13,29038.46168
288,29,female,45.67307663,16,91346.15326
289,29,male,38.46154022,18,76923.08044
290,30,female,20.40816307,13,40816.32614
291,30,male,9.615385056,18,19230.77011
292,29,female,21.97802162,16,43956.04324
293,29,female,8.603239059,13,17206.47812
294,30,male,12.01923084,12,24038.46168
295,30,female,13.46153831,16,26923.07662
296,30,male,26.44230843,16,52884.61686
297,29,male,8.241758347,10,16483.51669
298,30,female,9.615385056,12,19230.77011
299,29,female,11.53846169,14,23076.92338
300,30,male,14.42307663,16,28846.15326
301,30,male,31.25,16,62500
302,30,female,31.25,16,62500
303,29,male,28.5714283,16,57142.8566
304,30,male,21.63461494,12,43269.22988
305,30,male,31.25,16,62500
306,29,male,24.51922989,18,49038.45978
307,29,male,11.05769253,12,22115.38506
308,29,male,12.98076916,16,25961.53832
309,30,male,20.19230843,13,40384.61686
310,30,male,8.17307663,16,16346.15326
311,29,male,14.90384579,12,29807.69158
312,29,female,22.11538506,12,44230.77012
313,29,male,10.43956089,13,20879.12178
314,30,female,13.125,16,26250
315,29,male,8.846154213,8,17692.30843
316,30,male,11.05769253,16,22115.38506
317,29,male,26.92307663,16,53846.15326
318,30,female,17.30769157,16,34615.38314
319,30,female,6.75,12,13500
320,29,female,13.46153831,12,26923.07662
321,29,male,31.25,13,62500
322,29,female,21.63461494,13,43269.22988
323,30,female,15.91346169,13,31826.92338
324,30,male,16.92307663,13,33846.15326
325,29,female,26.04166603,13,52083.33206
326,29,female,7.5,12,15000
327,30,female,19.23077011,13,38461.54022
328,29,male,18.26922989,13,36538.45978
329,30,female,16.70040512,16,33400.81024
330,30,male,11.27450943,12,22549.01886
331,30,male,21.97802162,12,43956.04324
332,29,male,10.76923084,16,21538.46168
333,30,male,15.38461494,12,30769.22988
334,29,male,14.42307663,13,28846.15326
335,29,female,16.34615326,14,32692.30652
336,30,male,27.77777863,14,55555.55726
337,29,female,13.46153831,13,26923.07662
338,30,male,32.05128098,16,64102.56196
339,30,male,11.05769253,12,22115.38506
340,30,male,26.44230843,12,52884.61686
341,29,female,16.34615326,16,32692.30652
342,29,male,50.90909195,16,101818.1839
343,30,male,13.24786282,12,26495.72564
344,29,male,10.2564106,13,20512.8212
345,29,male,20.19230843,12,40384.61686
346,29,male,19.23077011,18,38461.54022
347,29,female,19.23077011,18,38461.54022
348,30,male,10.57692337,12,21153.84674
349,30,male,23.07692337,16,46153.84674
350,29,male,20.5128212,16,41025.6424
351,30,male,6.783216953,18,13566.43391
352,30,female,28.84615326,18,57692.30652
353,30,female,24.03846169,13,48076.92338
354,30,female,24.66666603,18,49333.33206
355,30,female,16.58653831,18,33173.07662
356,29,male,12.01923084,12,24038.46168
357,29,male,17.52136803,16,35042.73606
358,30,female,15.38461494,13,30769.22988
359,29,male,23.07692337,16,46153.84674
360,29,female,7.371794701,13,14743.5894
361,30,female,5.341880322,16,10683.76064
362,29,male,17.19567299,12,34391.34598
363,30,male,30.76922989,16,61538.45978
364,30,male,19.23077011,18,38461.54022
365,30,female,11.07692337,13,22153.84674
366,29,male,16.82692337,12,33653.84674
367,30,male,13.73626328,13,27472.52656
368,30,male,16.02564049,13,32051.28098
369,29,female,19.23077011,13,38461.54022
370,30,female,13.22115421,14,26442.30842
371,30,female,22.95192337,16,45903.84674
372,29,male,20,13,40000
373,30,male,15,12,30000
374,29,male,13.46153831,12,26923.07662
375,30,female,12.98076916,13,25961.53832
376,30,female,26.44230843,16,52884.61686
377,29,female,9.615385056,13,19230.77011
378,30,male,19.23077011,10,38461.54022
379,30,male,16.23931694,16,32478.63388
380,30,male,9.615385056,11,19230.77011
381,29,male,34.61538315,18,69230.7663
382,30,male,28.84615326,16,57692.30652
383,30,female,16.82692337,16,33653.84674
384,29,male,23.50427437,16,47008.54874
385,29,male,24.03846169,18,48076.92338
386,29,male,16.65103149,12,33302.06298
387,30,male,16.82692337,13,33653.84674
388,29,male,15.38461494,18,30769.22988
389,29,male,19.23077011,14,38461.54022
390,30,male,16.43356705,16,32867.1341
391,30,female,8.17307663,14,16346.15326
392,30,female,21.75,16,43500
393,29,female,13.46153831,14,26923.07662
394,30,female,42.30769348,14,84615.38696
395,30,female,3.605769157,13,7211.538314
396,29,male,16.82692337,16,33653.84674
397,29,male,15.46153831,13,30923.07662
398,29,male,13.65096188,12,27301.92376
399,29,female,5.288461685,8,10576.92337
400,30,female,14.42307663,12,28846.15326
401,30,male,25,12,50000
402,29,female,40.86538315,16,81730.7663
403,30,female,24.03846169,12,48076.92338
404,29,male,22,13,44000
405,30,female,14.42307663,12,28846.15326
406,30,female,2.747252703,9,5494.505406
407,29,female,6.730769157,11,13461.53831
408,30,female,10.1214571,12,20242.9142
409,29,male,9.391771317,16,18783.54263
410,29,female,6.923077106,12,13846.15421
411,30,male,20.38461494,16,40769.22988
412,29,male,24.03846169,13,48076.92338
413,29,female,17.1875,14,34375
414,30,female,5.769230843,9,11538.46169
415,30,female,8.288461685,6,16576.92337
416,29,male,18.81270981,16,37625.41962
417,29,male,10.30219746,13,20604.39492
418,30,male,15,13,30000
419,30,male,14.42307663,8,28846.15326
420,29,male,13.94230747,13,27884.61494
421,30,male,33.65384674,14,67307.69348
422,30,female,12.01923084,13,24038.46168
423,29,female,22.22222137,16,44444.44274
424,30,male,20.19230843,12,40384.61686
425,30,female,9.615385056,16,19230.77011
426,29,male,24.51922989,18,49038.45978
427,30,male,14.42307663,12,28846.15326
428,30,female,11.45833302,16,22916.66604
429,30,female,15.625,14,31250
430,30,female,21.97802162,13,43956.04324
431,30,female,10.6275301,16,21255.0602
432,29,female,13.84615421,13,27692.30842
433,29,female,14.42307663,13,28846.15326
434,29,male,15.43269253,13,30865.38506
435,29,female,19.23077011,18,38461.54022
436,30,male,8.284023285,16,16568.04657
437,30,male,10.81730747,12,21634.61494
438,30,female,11.4285717,13,22857.1434
439,30,male,9.245562553,12,18491.12511
440,30,female,12.01923084,12,24038.46168
441,29,male,22.11538506,9,44230.77012
442,30,male,13.94230747,12,27884.61494
443,29,female,7.211538315,13,14423.07663
444,30,male,10.57692337,12,21153.84674
445,30,male,14.42307663,9,28846.15326
446,29,male,56.60416794,16,113208.3359
447,30,male,19.23077011,13,38461.54022
448,30,male,24.03846169,14,48076.92338
449,30,female,17.69230843,14,35384.61686
450,29,male,12.58741283,16,25174.82566
451,29,male,21.36752129,12,42735.04258
452,30,male,24.03846169,13,48076.92338
453,29,male,18.02884674,12,36057.69348
454,29,male,16.48351669,13,32967.03338
455,30,male,10.68376064,16,21367.52128
456,29,male,10,8,20000
457,29,female,18.26922989,13,36538.45978
458,30,male,9.615385056,14,19230.77011
459,29,male,22.99331093,18,45986.62186
460,29,female,17.30769157,18,34615.38314
461,29,male,26.92307663,13,53846.15326
462,30,male,40.86538315,16,81730.7663
463,29,male,25.51020432,12,51020.40864
464,30,female,26.92307663,13,53846.15326
465,30,male,22.59615326,12,45192.30652
466,30,female,3.846153736,12,7692.307472
467,29,male,33.65384674,14,67307.69348
468,30,male,12.23776245,16,24475.5249
469,30,male,12.98076916,12,25961.53832
470,30,male,2.644230843,13,5288.461686
471,29,male,12.30769253,12,24615.38506
472,30,male,12.75,18,25500
473,29,male,16.82692337,16,33653.84674
474,30,male,25,12,50000
475,29,male,16.82692337,16,33653.84674
476,30,female,6.730769157,9,13461.53831
477,29,male,22.11538506,16,44230.77012
478,29,male,6.593406677,11,13186.81335
479,29,male,19.23077011,13,38461.54022
480,29,male,8.974358559,12,17948.71712
481,29,female,11.10000038,13,22200.00076
482,29,male,15.38461494,12,30769.22988
483,29,female,12.5,16,25000
484,29,female,22.89377213,16,45787.54426
485,29,female,17.12932777,16,34258.65554
486,30,male,6.778846264,11,13557.69253
487,30,male,25,16,50000
488,29,female,11.53846169,11,23076.92338
489,29,female,12.5,13,25000
490,30,male,25.64102554,13,51282.05108
491,30,female,11,12,22000
492,30,male,15.14423084,12,30288.46168
493,30,female,18.75,12,37500
494,30,male,14.58333302,16,29166.66604
495,30,male,7.211538315,13,14423.07663
496,30,male,11.02564144,13,22051.28288
497,30,female,11.53846169,14,23076.92338
498,30,female,5.555555344,12,11111.11069
499,29,male,10.02403831,11,20048.07662
500,29,female,12.01923084,13,24038.46168
501,30,female,10.91476059,12,21829.52118
502,29,male,34.92063522,12,69841.27044
503,29,male,13.94230747,14,27884.61494
504,30,female,14.42307663,14,28846.15326
505,30,female,8.947368622,12,17894.73724
506,29,male,12.01923084,12,24038.46168
507,30,female,11.53846169,16,23076.92338
508,30,male,9.615385056,12,19230.77011
509,30,male,16.66666603,12,33333.33206
510,30,female,9.615385056,11,19230.77011
511,29,male,11.53846169,12,23076.92338
512,30,female,16.82692337,13,33653.84674
513,29,male,13.46153831,13,26923.07662
514,29,male,13.24786282,12,26495.72564
515,29,male,12.01923084,13,24038.46168
516,30,male,16.20370293,11,32407.40586
517,29,female,7.5,14,15000
518,30,male,19.23077011,14,38461.54022
519,29,male,8.653845787,8,17307.69157
520,29,male,12.82051277,14,25641.02554
521,30,female,8.17307663,16,16346.15326
522,30,female,14.9572649,14,29914.5298
523,30,male,20.19230843,14,40384.61686
524,29,female,19.23077011,18,38461.54022
525,30,female,15.625,13,31250
526,30,male,17.15686226,12,34313.72452
527,29,male,16.82692337,12,33653.84674
528,30,male,21.97802162,16,43956.04324
529,30,female,17.54807663,16,35096.15326
530,30,female,10,16,20000
531,29,male,20,16,40000
532,30,male,14.9572649,16,29914.5298
533,30,male,39.0625,12,78125
534,29,female,12.01923084,13,24038.46168
535,30,female,15.38461494,16,30769.22988
536,29,male,17.94871712,16,35897.43424
537,30,male,34.61538315,12,69230.7663
538,29,male,16.34615326,10,32692.30652
539,30,female,23.07692337,18,46153.84674
540,30,female,8.814102173,13,17628.20435
541,30,male,14.42307663,18,28846.15326
542,30,female,15.29720306,12,30594.40612
543,29,male,13.46153831,16,26923.07662
544,30,male,14.42307663,12,28846.15326
545,30,male,14.42307663,12,28846.15326
546,29,male,10.09615421,12,20192.30842
547,29,male,13.70192337,16,27403.84674
548,29,male,31.25,12,62500
549,29,male,13.2867136,13,26573.4272
550,30,male,40.86538315,16,81730.7663
551,30,male,38.46154022,16,76923.08044
552,29,male,16.82692337,13,33653.84674
553,30,male,11.53846169,12,23076.92338
554,30,male,19.23077011,16,38461.54022
555,29,male,12.82051277,16,25641.02554
556,30,male,41.95804214,16,83916.08428
557,30,male,10,12,20000
558,29,female,11.89903831,16,23798.07662
559,30,male,21.97802162,16,43956.04324
560,29,female,5.208333492,11,10416.66698
561,29,male,20.19230843,12,40384.61686
562,30,male,17.320261,12,34640.522
563,30,male,74.5192337,16,149038.4674
564,30,male,13.98601437,13,27972.02874
565,29,female,24.03846169,13,48076.92338
566,30,female,9.615385056,8,19230.77011
567,29,male,17.30769157,13,34615.38314
568,29,female,19.23077011,16,38461.54022
569,30,male,42.30769348,13,84615.38696
570,29,female,10.57692337,13,21153.84674
571,30,male,19.6581192,16,39316.2384
572,30,male,9.615385056,12,19230.77011
573,30,male,12.01923084,13,24038.46168
574,30,female,12.01923084,12,24038.46168
575,30,male,7.272727489,12,14545.45498
576,29,female,18.50961494,16,37019.22988
577,29,male,7.211538315,12,14423.07663
578,29,female,7.211538315,10,14423.07663
579,29,female,23.07692337,12,46153.84674
580,30,male,8.069231033,12,16138.46207
581,29,male,11.83431911,16,23668.63822
582,30,male,38.46154022,16,76923.08044
583,29,male,17.7010498,12,35402.0996
584,30,male,10.57692337,12,21153.84674
585,30,female,13.94230747,13,27884.61494
586,30,male,19.23077011,12,38461.54022
587,30,female,24.03846169,16,48076.92338
588,30,female,9.615385056,13,19230.77011
589,29,female,17.98077011,18,35961.54022
590,29,male,36.05769348,13,72115.38696
591,29,female,33.78378296,18,67567.56592
592,29,male,29.80769157,13,59615.38314
593,30,female,12.63736248,13,25274.72496
594,29,male,19.23077011,16,38461.54022
595,30,female,9.134614944,12,18269.22989
596,29,male,16.66666603,12,33333.33206
597,29,male,35.09615326,12,70192.30652
598,30,male,15.54828167,16,31096.56334
599,30,male,19.23077011,13,38461.54022
600,30,male,8.17307663,12,16346.15326
601,30,female,9.230769157,13,18461.53831
602,29,male,9.8039217,12,19607.8434
603,29,male,24.03846169,16,48076.92338
604,29,male,18.26922989,12,36538.45978
605,30,female,16.82692337,18,33653.84674
606,30,male,32.69230652,16,65384.61304
607,30,male,36.05769348,13,72115.38696
608,29,female,13,13,26000
609,29,male,12.5,14,25000
610,30,female,13.67521381,12,27350.42762
611,30,male,8.17307663,12,16346.15326
612,30,male,10.98901081,12,21978.02162
613,30,male,9.615385056,12,19230.77011
614,30,male,6.923077106,12,13846.15421
615,29,male,15.96153831,14,31923.07662
616,29,male,14.02243614,13,28044.87228
617,29,male,13.73626328,12,27472.52656
618,30,female,21.97802162,16,43956.04324
619,30,male,25,16,50000
620,30,male,14.86013985,16,29720.2797
621,30,male,12.98076916,13,25961.53832
622,30,male,19.23077011,13,38461.54022
623,29,female,25,13,50000
624,29,male,21.05999947,16,42119.99894
625,29,male,4.166666508,16,8333.333016
626,29,male,46.15384674,13,92307.69348
627,30,male,28.84615326,12,57692.30652
628,29,female,10.9375,12,21875
629,30,female,9.615385056,13,19230.77011
630,29,male,86.53845978,13,173076.9196
631,29,female,14.6875,16,29375
632,30,male,24.03846169,16,48076.92338
633,30,female,14.42307663,12,28846.15326
634,30,female,8.653845787,13,17307.69157
635,29,female,28.36538506,18,56730.77012
636,30,male,49.51922989,14,99038.45978
637,29,male,55.28845978,18,110576.9196
638,29,female,12.63736248,18,25274.72496
639,29,male,11,12,22000
640,29,female,8.547008514,13,17094.01703
641,29,female,21.36752129,16,42735.04258
642,29,male,17.78846169,14,35576.92338
643,29,female,19.23077011,12,38461.54022
644,29,male,7.5,6,15000
645,30,female,11.29807663,16,22596.15326
646,29,male,19.23077011,12,38461.54022
647,29,male,13.94230747,13,27884.61494
648,29,female,6.25,9,12500
649,29,female,8.653845787,12,17307.69157
650,30,male,10.09615421,11,20192.30842
651,30,female,14.58333302,11,29166.66604
652,29,male,27.2435894,12,54487.1788
653,30,female,14.42307663,12,28846.15326
654,29,female,16.82692337,16,33653.84674
655,29,male,47.11538315,18,94230.7663
656,29,female,19.23077011,14,38461.54022
657,29,male,13.02083302,12,26041.66604
658,29,male,11.53846169,16,23076.92338
659,30,male,9.615385056,12,19230.77011
660,29,female,2.56410265,11,5128.2053
661,30,male,13.6217947,13,27243.5894
662,30,male,8.17307663,12,16346.15326
663,30,male,19.23077011,14,38461.54022
664,30,female,13.35470104,13,26709.40208
665,29,male,20.0854702,16,40170.9404
666,29,female,16.70040512,16,33400.81024
667,29,male,24.03846169,13,48076.92338
668,30,male,14.42307663,12,28846.15326
669,30,female,15.38461494,16,30769.22988
670,29,male,4.430769444,12,8861.538888
671,29,female,13.07692337,13,26153.84674
672,30,female,35.09615326,18,70192.30652
673,29,male,17.94871712,16,35897.43424
674,29,male,9.615385056,12,19230.77011
675,30,female,12.74038506,18,25480.77012
676,30,male,21.63461494,13,43269.22988
677,29,female,11.53846169,14,23076.92338
678,30,female,5.288461685,14,10576.92337
679,30,male,34.61538315,12,69230.7663
680,30,female,10.57692337,12,21153.84674
681,30,male,29.58579826,13,59171.59652
682,30,female,34.13461685,18,68269.2337
683,29,male,27.47252655,12,54945.0531
684,30,male,5.528846264,13,11057.69253
685,30,male,12.08791256,12,24175.82512
686,29,male,11.53846169,12,23076.92338
687,29,female,16.82692337,13,33653.84674
688,29,female,16.74679565,16,33493.5913
689,29,female,19.23077011,16,38461.54022
690,30,female,17.52136803,16,35042.73606
691,29,female,6.730769157,12,13461.53831
692,29,female,9.8039217,12,19607.8434
693,29,female,12.69230747,13,25384.61494
694,29,male,35.7142868,12,71428.5736
695,30,female,15.86538506,16,31730.77012
696,29,male,6.946153641,12,13892.30728
697,29,male,46.15384674,18,92307.69348
698,29,male,10.38461494,12,20769.22988
699,30,male,8.653845787,12,17307.69157
700,29,female,7.984615326,12,15969.23065
701,29,male,9.615385056,12,19230.77011
702,29,female,14.10256386,12,28205.12772
703,30,male,8.653845787,13,17307.69157
704,29,female,11.05769253,12,22115.38506
705,29,male,23,14,46000
706,30,male,7.692307472,13,15384.61494
707,29,female,25.64102554,18,51282.05108
708,29,male,14.42307663,14,28846.15326
709,29,female,33.65384674,16,67307.69348
710,29,female,5.769230843,12,11538.46169
711,30,female,21.63461494,12,43269.22988
712,30,male,15.86538506,16,31730.77012
713,29,male,19.23077011,16,38461.54022
714,30,male,24.03846169,12,48076.92338
715,30,male,13.46153831,8,26923.07662
716,29,male,19.6078434,11,39215.6868
717,30,male,25.24038506,13,50480.77012
